#  California Palmer Drought Severity Index (PDSI)
# Base Period: 1895-2000
Date,Value,Anomaly
189501,2.23,2.27
189502,1.72,1.82
189503,1.35,1.37
189504,1.03,1.1
189505,1.41,1.38
189506,1.36,1.24
189507,1.23,1.03
189508,1.1,0.94
189509,1.56,1.37
189510,-0.5,-0.57
189511,-0.85,-0.86
189512,-1.22,-1.09
189601,1.25,1.29
189602,-1,-0.9
189603,0.29,0.31
189604,1.75,1.82
189605,2.52,2.49
189606,2.93,2.81
189607,2.89,2.69
189608,2.99,2.83
189609,2.77,2.58
189610,2.62,2.55
189611,3,2.99
189612,2.7,2.83
189701,2.29,2.33
189702,3,3.1
189703,3.48,3.5
189704,-0.59,-0.52
189705,-1,-1.03
189706,-1.18,-1.3
189707,-1.35,-1.55
189708,-1.3,-1.46
189709,-1.2,-1.39
189710,-0.53,-0.6
189711,-0.79,-0.8
189712,-1.21,-1.08
189801,-2.13,-2.09
189802,-2.33,-2.23
189803,-2.89,-2.87
189804,-3.28,-3.21
189805,-2.41,-2.44
189806,-2,-2.12
189807,-1.81,-2.01
189808,-1.72,-1.88
189809,-1.34,-1.53
189810,-1.53,-1.6
189811,-1.87,-1.88
189812,-2.56,-2.43
189901,-2.35,-2.31
189902,-3.08,-2.98
189903,0.99,1.01
189904,0.39,0.46
189905,0.6,0.57
189906,0.86,0.74
189907,0.85,0.65
189908,0.82,0.66
189909,0.42,0.23
189910,1.91,1.84
189911,2.44,2.43
189912,2.3,2.43
190001,-0.28,-0.24
190002,-0.98,-0.88
190003,-1.39,-1.37
190004,0.34,0.41
190005,0.9,0.87
190006,1.33,1.21
190007,1.4,1.2
190008,1.15,0.99
190009,0.97,0.78
190010,1.74,1.67
190011,2.39,2.38
190012,1.55,1.68
190101,1.99,2.03
190102,2.47,2.57
190103,1.38,1.4
190104,1.65,1.72
190105,1.83,1.8
190106,1.91,1.79
190107,1.82,1.62
190108,1.72,1.56
190109,2.28,2.09
190110,2.14,2.07
190111,-0.14,-0.15
190112,-0.92,-0.79
190201,-2.02,-1.98
190202,1.18,1.28
190203,1.23,1.25
190204,1.4,1.47
190205,1.53,1.5
190206,1.71,1.59
190207,1.67,1.47
190208,1.49,1.33
190209,0.96,0.77
190210,1.23,1.16
190211,1.68,1.67
190212,1.41,1.54
190301,1.73,1.77
190302,1.14,1.24
190303,2.01,2.03
190304,-0.19,-0.12
190305,-0.45,-0.48
190306,-0.53,-0.65
190307,-0.7,-0.9
190308,-0.76,-0.92
190309,-0.84,-1.03
190310,-1.28,-1.35
190311,0.88,0.87
190312,-0.68,-0.55
190401,-1.36,-1.32
190402,1.5,1.6
190403,2.98,3
190404,2.98,3.05
190405,2.4,2.37
190406,2.01,1.89
190407,1.72,1.52
190408,1.76,1.6
190409,2.59,2.4
190410,3.03,2.96
190411,2.11,2.1
190412,1.62,1.75
190501,1.21,1.25
190502,1.17,1.27
190503,1.91,1.93
190504,1.35,1.42
190505,2.09,2.06
190506,2.26,2.14
190507,2.34,2.14
190508,-0.05,-0.21
190509,-0.18,-0.37
190510,-0.79,-0.86
190511,-0.89,-0.9
190512,-1.6,-1.47
190601,0.69,0.73
190602,0.78,0.88
190603,2.71,2.73
190604,2.53,2.6
190605,3.78,3.75
190606,4.51,4.39
190607,5.77,5.57
190608,5.4,5.24
190609,4.7,4.51
190610,3.47,3.4
190611,2.81,2.8
190612,3.69,3.82
190701,4.53,4.57
190702,4.05,4.15
190703,6.1,6.12
190704,5.15,5.22
190705,4.65,4.62
190706,4.68,4.56
190707,4.59,4.39
190708,4.27,4.11
190709,-0.18,-0.37
190710,0.27,0.2
190711,-0.94,-0.95
190712,-0.66,-0.53
190801,-0.7,-0.66
190802,-0.41,-0.31
190803,-1.2,-1.18
190804,-1.64,-1.57
190805,0.49,0.46
190806,0.61,0.49
190807,0.92,0.72
190808,0.88,0.72
190809,1.11,0.92
190810,1.14,1.07
190811,-0.43,-0.44
190812,-1.06,-0.93
190901,2.79,2.83
190902,3.59,3.69
190903,0.03,0.05
190904,-0.78,-0.71
190905,-1.14,-1.17
190906,-1.41,-1.53
190907,-1.53,-1.73
190908,0.31,0.15
190909,0.43,0.24
190910,0.54,0.47
190911,1.13,1.12
190912,1.79,1.92
191001,1.84,1.88
191002,-0.39,-0.29
191003,-0.74,-0.72
191004,-1.34,-1.27
191005,-1.83,-1.86
191006,-2.34,-2.46
191007,-2.44,-2.64
191008,-2.54,-2.7
191009,-2.1,-2.29
191010,-2.19,-2.26
191011,-2.17,-2.18
191012,-2.74,-2.61
191101,2.04,2.08
191102,1.83,1.93
191103,2.43,2.45
191104,2.26,2.33
191105,2.09,2.06
191106,2.21,2.09
191107,2.4,2.2
191108,-0.18,-0.34
191109,-0.06,-0.25
191110,-0.42,-0.49
191111,-1.12,-1.13
191112,-1.74,-1.61
191201,-2.39,-2.35
191202,-3.37,-3.27
191203,0.57,0.59
191204,1.27,1.34
191205,1.77,1.74
191206,2.31,2.19
191207,2.61,2.41
191208,2.58,2.42
191209,3.06,2.87
191210,0.03,-0.04
191211,-0.15,-0.16
191212,-0.96,-0.83
191301,-0.96,-0.92
191302,-1.39,-1.29
191303,-1.76,-1.74
191304,-1.71,-1.64
191305,0.23,0.2
191306,0.81,0.69
191307,1.74,1.54
191308,2.28,2.12
191309,1.8,1.61
191310,0.88,0.81
191311,1.35,1.34
191312,1.89,2.02
191401,4.34,4.38
191402,4.16,4.26
191403,-1.06,-1.04
191404,-0.82,-0.75
191405,-0.83,-0.86
191406,-0.46,-0.58
191407,-0.21,-0.41
191408,-0.35,-0.51
191409,-0.37,-0.56
191410,-0.22,-0.29
191411,-1.08,-1.09
191412,0.05,0.18
191501,0.74,0.78
191502,2.27,2.37
191503,1.47,1.49
191504,1.34,1.41
191505,2.79,2.76
191506,3.12,3
191507,3.74,3.54
191508,3.62,3.46
191509,2.97,2.78
191510,1.94,1.87
191511,1.36,1.35
191512,1.37,1.5
191601,3.93,3.97
191602,-0.25,-0.15
191603,-0.55,-0.53
191604,-1.1,-1.03
191605,-1.09,-1.12
191606,-1.08,-1.2
191607,0.16,-0.04
191608,0.36,0.2
191609,0.45,0.26
191610,0.8,0.73
191611,-0.42,-0.43
191612,-0.19,-0.06
191701,-0.58,-0.54
191702,-0.04,0.06
191703,-0.55,-0.53
191704,0.04,0.11
191705,0.31,0.28
191706,0.68,0.56
191707,0.79,0.59
191708,-0.13,-0.29
191709,-0.39,-0.58
191710,-1.26,-1.33
191711,-1.65,-1.66
191712,-2.57,-2.44
191801,-3.78,-3.74
191802,-3.26,-3.16
191803,-2.01,-1.99
191804,-2.31,-2.24
191805,-2.29,-2.32
191806,-2.33,-2.45
191807,-2.55,-2.75
191808,-2.35,-2.51
191809,-0.96,-1.15
191810,-1.07,-1.14
191811,-0.98,-0.99
191812,-1.43,-1.3
191901,-2,-1.96
191902,-0.96,-0.86
191903,-0.74,-0.72
191904,-1.07,-1
191905,-1.28,-1.31
191906,-1.67,-1.79
191907,-1.79,-1.99
191908,-1.92,-2.08
191909,-1.12,-1.31
191910,-1.3,-1.37
191911,-1.86,-1.87
